sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2
great_fruit-eating_bat.1	2338.0623.7.I	2338	Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2combined.fastq.gz	10812150	10809968	7.033824407999999	7	Chordata	Mammalia	Phyllostomidae	Artibeus	Metazoa	Chiroptera	Artibeus_intermedius	Artibeus_jamaicensis	Artibeus_intermedius	great_fruit-eating_bat	flighted			CostaRica			frugivore	herbivore	wild	Artibeus-intermedius_S_S_Temp_D709-AK1780_filtered_r1r2interleaved
sebas_short-tailed_bat.1	2338.0620.8.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2combined.fastq.gz	28375062	28354050	7.452615101	7	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted			CostaRica			frugivore	herbivore	wild	Carollia-perspicillata_S_S_Temp_D709-AK1682_filtered_r1r2interleaved
sebas_short-tailed_bat.2	2338.0623.9.I	2338	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2combined.fastq.gz	122751186	122713288	8.088891593	8	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted			CostaRica			frugivore	herbivore	wild	Carollia-perspicillata_S_S_Temp_D712-AK1544_filtered_r1r2interleaved
sebas_short-tailed_bat.3	2338.0627.22.I2	2338	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2combined.fastq.gz	8559788	8556874	6.932315137000001	7	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted			CostaRica			frugivore	herbivore	wild	Carollia-perspicillata_S_S_Temp_D712-AK1546_filtered_r1r2interleaved
sebas_short-tailed_bat.4	2338.0701.17.I	2338	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2combined.fastq.gz	488426	487862	5.688296992000001	6	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_perspicillata	Carollia_perspicillata	Carollia_perspicillata	Sebas_short-tailed_bat	flighted			CostaRica			frugivore	herbivore	wild	Carollia-perspicillata_S_S_Temp_D709-AK1681_filtered_r1r2interleaved
sowells_short-tailed_bat.1	2338.0624.6.I	2338	Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2combined.fastq.gz	51599976	51540112	7.712145358	8	Chordata	Mammalia	Phyllostomidae	Carollia	Metazoa	Chiroptera	Carollia_sowelli	Carollia_perspicillata	Carollia_sowelli	Sowells_short-tailed_bat	flighted			CostaRica			frugivore	herbivore	wild	Carollia-sowelli_S_S_Temp_D712-AK1545_filtered_r1r2interleaved
american_brook_lamprey.1	11166.lamprey.24146.lamprey	11166	Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2combined.fastq.gz	79429692	32380108	7.510278293	8	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra_appendix	Petromyzon_marinus	Lampetra_appendix	American_brook_lamprey	flightless			USA			filter_feeder	carnivore	wild	Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2interleaved
american_brook_lamprey.2	11166.lamprey.24147.lamprey	11166	Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2combined.fastq.gz	102385344	44405594	7.647437684	8	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra_appendix	Petromyzon_marinus	Lampetra_appendix	American_brook_lamprey	flightless			USA			filter_feeder	carnivore	wild	Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2interleaved
american_brook_lamprey.3	11166.lamprey.24154.lamprey	11166	Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2combined.fastq.gz	58065678	25803516	7.411678887000001	7	Chordata	Hyperoartia	Petromyzontidae	Lampetra	Metazoa	Petromyzontiformes	Lampetra_appendix	Petromyzon_marinus	Lampetra_appendix	American_brook_lamprey	flightless			USA			filter_feeder	carnivore	wild	Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2interleaved
bald_eagle.1	11166.ATL.24483.eagle	11166	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined.fastq.gz	20895600	20223650	7.305859541	7	Chordata	Aves	Accipitridae	Haliaeetus	Metazoa	Falconiformes	Haliaeetus_leucocephalus	Haliaeetus_leucocephalus	Haliaeetus_leucocephalus	Bald_eagle	flighted			USA			scavenger	carnivore	captive	Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2interleaved
