sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2	Qiita_studyID
common_bream.1	13881.SAMEA6809635	13881.0	Abramis-brama_SAMEA6809635.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	89148438.0	89093932.0	7.949848126	8.0	Chordata	Actinopterygii	Leuciscidae	Abramis	Metazoa	Cypriniformes	Abramis_brama	Pimephales_promelas	Abramis_brama	common_bream			omnivore	Austria		feces	filter_feeder	carnivore	wild	Abramis-brama_SAMEA6809635.ebi_filtered_r1r2interleaved_sampleCombined	study13881
chestnut-rumped_thornbill.1	13881.SAMEA6809490	13881.0	Acanthiza-uropygialis_SAMEA6809490.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1201754.0	1199780.0	6.079101617999999	6.0	Chordata	Aves	Acanthizidae	Acanthiza	Metazoa	Passeriformes	Acanthiza_uropygialis	Origma_solitaria	Acanthiza_uropygialis	chestnut-rumped_thornbill			carnivore	Australia		feces	insectivore	carnivore	wild	Acanthiza-uropygialis_SAMEA6809490.ebi_filtered_r1r2interleaved_sampleCombined	study13881
eurasian_river_otter.2	13881.SAMEA6809366	13881.0	Accipiter-nisus_SAMEA6809366.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9162398.0	8342298.0	6.9212856989999985	7.0	Chordata	Aves	Accipitridae	Accipiter	Metazoa	Accipitriformes	Accipiter_nisus	Accipiter_nisus	Accipiter_nisus	Eurasian_sparrowhawk			carnivore	Hungary		gut	carnivore	carnivore	wild	Accipiter-nisus_SAMEA6809366.ebi_filtered_r1r2interleaved_sampleCombined	study13881
eurasian_sparrowhawk.1	13881.SAMEA6809563	13881.0	Acrocephalus-scirpaceus_SAMEA6809563.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9849836.0	9779756.0	6.990328019	7.0	Chordata	Aves	Sylviidae	Acrocephalus	Metazoa	Passeriformes	Acrocephalus_scirpaceus	Acrocephalus_arundinaceus	Acrocephalus_scirpaceus	Eurasian_Reed_Warbler			omnivore	Austria		feces	insectivore	carnivore	captive	Acrocephalus-scirpaceus_SAMEA6809563.ebi_filtered_r1r2interleaved_sampleCombined	study13881
vulturine_guineafowl.1	13114.song.53.s012	13114.0	Acryllium-vulturinum_Song53_24613_host_filtered_r1r2combined.fastq.gz	13157850.0	13096968.0	7.117170766	7.0	Chordata	Aves	Numididae	Acryllium	Metazoa	Galliformes	Acryllium_vulturinum	Numida_meleagris	Acryllium_vulturinum	Vulturine_guineafowl	flighted	terrestrial,flight	omnivore	USA			omnivore	omnivore	captive	Acryllium-vulturinum_Song53_24613_host_filtered.fastq.gzinterleaved	study13114
impala.1	13881.SAMEA6809571	13881.0	Aepyceros-melampus_SAMEA6809571.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	16990650.0	16987602.0	7.230132077	7.0	Chordata	Mammalia	Bovidae	Aepyceros	Metazoa	Artiodactyla	Aepyceros_melampus	Aepyceros_melampus	Aepyceros_melampus	impala			herbivore	SouthAfrica		feces	carnivore	carnivore	wild	Aepyceros-melampus_SAMEA6809571.ebi_filtered_r1r2interleaved_sampleCombined	study13881
bleak.1	13881.SAMEA6809501	13881.0	Alburnus-alburnus_SAMEA6809501.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4021850.0	4021410.0	6.604378354	7.0	Chordata	Actinopterygii	Leuciscidae	Alburnus	Metazoa	Cypriniformes	Alburnus_alburnus	Culter_alburnus_(topmouth_culter)	Alburnus_alburnus	bleak			omnivore	Austria		feces	carnivore	carnivore	wild	Alburnus-alburnus_SAMEA6809501.ebi_filtered_r1r2interleaved_sampleCombined	study13881
aldabra_giant_tortoise.1	13114.song.52.s002	13114.0	Aldabrachelys-gigantea_Song52_24069_host_filtered_r1r2combined.fastq.gz	22742996.0	22735918.0	7.356712494	7.0	Chordata	Reptilia	Testudinidae	Aldabrachelys	Metazoa	Testudines	Aldabrachelys_gigantea	Chelonoidis_abingdonii	Aldabrachelys_gigantea	Aldabra_giant_tortoise	flightless	terrestrial,flightless	herbivore	USA			herbivore	herbivore	captive	Aldabrachelys-gigantea_Song52_24069_host_filtered.fastq.gzinterleaved	study13114
american_alligator.1	13114.song.52.s008	13114.0	Alligator-mississippiensis_Song52_25047_host_filtered_r1r2combined.fastq.gz	8339798.0	8338922.0	6.921109912	7.0	Chordata	Reptilia	Alligatoridae	Alligator	Metazoa	Crocodilia	Alligator_mississippiensis	Alligator_mississippiensis	Alligator_mississippiensis	American_alligator	flightless	terrestrial,flightless	carnivore	USA			carnivore	carnivore	captive	Alligator-mississippiensis_Song52_25047_host_filtered.fastq.gzinterleaved	study13114
black_howler_monkey.2	11212.AC665	11212.0	Alouatta-caraya_AC665_TTAGGC_L001_001_filtered_r1r2combined.fastq.gz	17051340.0	17051138.0	7.231753369	7.0	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta_caraya	Alouatta_palliata	Alouatta_caraya	black_howler_monkey	flightless		Folivore	Argentina	AtlanticForest	stool	folivore	herbivore	wild	Alouatta-caraya_AC665_TTAGGC_L001_001_filtered_r1r2interleaved	study11212
